Crashid,Municipality,Road,Miles,Dir,FromRoad,ToRoad,Date,Time,Crash  Tye,Severity,
104084627,Cary,W CHATHAM ST,0.019,SW,GLENDALE DR,JASON CT,5/15/2014,4:10 PM,Ran off road - right,Property Damage Only,
104089638,Cary,US 1,0.008,N,US 64,KILDAIRE FARM,5/15/2014,8:23 AM,"Rear end, slow or stop",Property Damage Only,
104089645,Cary,MORRISVILLE PKWY,0,,DAVIS DR,KINGSTON GROVE DR,5/15/2014,7:30 PM,"Left turn, same roadway",Property Damage Only,
104084626,Cary,GREEN LEVEL CH RD 1600,0.019,N,GREEN HOPE SCHOOL RD,MILLERCREST LN,5/15/2014,2:37 PM,"Rear end, slow or stop",Property Damage Only,
104085580,Cary,SR 1300,0.02,S,HIGH MEADOW RD,SHANNON OAKS CIR,5/15/2014,2:06 PM,"Rear end, slow or stop",Property Damage Only,
104085581,Cary,US 1,0.095,S,US 64,TEN TEN RD,5/15/2014,2:24 PM,Other non-collision,Property Damage Only,
104084629,Cary,SR 3092,0,,W PARK ST,W CHATHAM ST,5/15/2014,11:49 AM,"Left turn, same roadway",Property Damage Only,
104089640,Cary,SR 1650,0.005,N,SMOKEHOUSE LN,E DYNASTY DR,5/16/2014,3:08 AM,"Rear end, slow or stop",C-Injury (Possible),
104084637,Cary,SR 1300,0,,E CORNWALL RD,ED SIMMONS CT,5/16/2014,10:19 AM,Pedestrian,C-Injury (Possible),
104089654,Cary,NC 55,0.063,S,SR 1609,VALLEY WOODS LN,5/16/2014,8:01 AM,Ran off road - right,C-Injury (Possible),
104092564,Cary,SR 3073,0.1,NE,SUDBURY,SR 1652,5/16/2014,2:09 PM,"Left turn, same roadway",Property Damage Only,
104085584,Cary,NC 54,0,N,NC 54,SR 1653,5/16/2014,3:38 PM,"Rear end, slow or stop",Property Damage Only,
104084607,Cary,E JOHNSON ST,0.2,W,SR 3081,BARRETT WOODS CT,5/16/2014,5:49 AM,Parked motor vehicle,Property Damage Only,
104085582,Cary,N HARRISOIN AVE,0.038,S,RESEARCH DR,CARY PKWY,5/16/2014,7:41 AM,"Rear end, slow or stop",Property Damage Only,
104090222,Cary,KILDAIRE FARM RD,0.019,N,PENNY RD,DANCERS POINTE LANE,5/16/2014,12:13 PM,"Rear end, slow or stop",Property Damage Only,
104084630,Cary,SR 1313,0.009,SE,NOTTINGHAM DR,DONALDSON DR,5/16/2014,4:17 PM,"Sideswipe, same direction",Property Damage Only,
104084631,Cary,STEEL TRAP CT,0,,FLINTLOCK CT,HIGH HOUSE RD,5/16/2014,11:39 PM,Parked motor vehicle,Property Damage Only,
104085583,Cary,CROSSROADS BLVD,0,,CAITBOO AVE,JONES FRANKLIN RD,5/16/2014,11:12 AM,Angle,Property Damage Only,
104091582,Cary,CARY PKWY,0,S,KINGSCLERE DR,SEABROOK AVE,5/16/2014,4:36 PM,"Left turn, different roadways",Property Damage Only,
104085637,Cary,N ACADEMY ST,0,,E CHATHAM ST,WALDO ST,5/16/2014,11:00 AM,"Sideswipe, same direction",Property Damage Only,
104091569,Cary,NOTTINGHAM DR,0.009,NW,SR 1315,WOODCREEK DR,5/16/2014,7:29 PM,Ran off road - right,Property Damage Only,
104073207,Cary,SW MAYNARD RD,0,,OLD APEX RD,CASTALIA DR,5/17/2014,11:33 AM,Angle,C-Injury (Possible),
104073205,Cary,SR 1315,0.095,E,SR 1313,NOTTINGHAM DR,5/17/2014,5:05 PM,"Left turn, same roadway",C-Injury (Possible),
104073206,Cary,HIDDEN OAKS DR,0.028,W,GREGORY DR,SR 1415,5/17/2014,5:45 PM,Backing up,Property Damage Only,
104073191,Cary,SR 1652,0.005,S,CHAPEL HILL RD,ADAMS ST,5/17/2014,12:54 PM,"Sideswipe, same direction",Property Damage Only,
104092681,Cary,SR 1415,0,,SR 1616,CASTALIA DR,5/17/2014,10:16 AM,Angle,Property Damage Only,
104073193,Cary,RAINBOW CT,0.032,S,WALDO ST,CUL DE SAC,5/17/2014,2:47 PM,Backing up,Property Damage Only,
104073190,Cary,SR 1652,0.005,S,ADAMS ST,HILLSBORO ST,5/17/2014,3:34 PM,"Rear end, slow or stop",Property Damage Only,
104073186,Cary,SR 1300,0.057,S,POND VILLAGE LANE,LANGSTON POND DR,5/17/2014,7:25 PM,Angle,Property Damage Only,
104073204,Cary,SR 1415,0,,SR 1307,REED ST,5/17/2014,9:58 PM,"Left turn, different roadways",Property Damage Only,
104073189,Cary,SR 1011,0.002,E,PARKTHROUGH ST,S HARRISON AVE,5/17/2014,11:47 AM,"Rear end, slow or stop",Property Damage Only,
104073214,Cary,SR 1652,0.002,NE,BASS PRO LANE,HARRISON OAKS BLVD,5/18/2014,10:33 AM,Other non-collision,B-Injury (Evident),
104073216,Cary,US 1,0.004,S,US 64,EDINBURGH DR,5/18/2014,11:37 AM,"Rear end, slow or stop",C-Injury (Possible),
104073208,Cary,SR 1349,0.002,W,SR 1300,MAGNOLIA WOODS DR,5/18/2014,7:17 PM,"Rear end, turn",C-Injury (Possible),
104073209,Cary,N MONTREAL CT,0.1,N,SLOAN DR,S MONTREAL CT,5/18/2014,6:56 PM,Movable object,Property Damage Only,
104092682,Cary,US 1,5,S,KILDAIRE FARM,US 1,5/19/2014,8:17 PM,"Rear end, slow or stop",C-Injury (Possible),
104073236,Cary,US 1,0.038,N,SR 1313,I 40,5/19/2014,2:00 PM,"Rear end, slow or stop",Property Damage Only,
104073226,Cary,SR 1652,0.008,NE,SAS CAMPUS DR,I 40,5/19/2014,7:02 AM,"Rear end, slow or stop",Property Damage Only,
104073240,Cary,VALLEYSTONE DR,0.019,W,SR 1613,SR 1613,5/19/2014,4:55 PM,"Left turn, same roadway",Property Damage Only,
104073224,Cary,NC 55,0.085,S,GLENDON WAY,BROOK ARBOR DR,5/19/2014,7:08 AM,"Rear end, slow or stop",Property Damage Only,
104073222,Cary,TANGLEWOOD DR,0.1,S,WALNUT ST,E CORNWALL RD,5/19/2014,7:23 AM,"Left turn, different roadways",Property Damage Only,
104073225,Cary,SR 1498,0.009,,SR 1521,KING GEORGE LOOP,5/19/2014,5:04 PM,"Rear end, slow or stop",Property Damage Only,
104073237,Cary,FARMINGTON WOODS DR,0.015,,HAMPTON VALLEY DR,OVERVIEW LN,5/19/2014,9:22 AM,Ran off road - right,Property Damage Only,
104073220,Cary,8010 TRYON WOODS DR,0.001,N,SR 1009,TRYON SPRINGS RD,5/19/2014,4:41 PM,"Rear end, slow or stop",Property Damage Only,
104073223,Cary,OLD REEDY CREEK RD,0.057,S,WINSTEAD DR,WESTON PKWY,5/19/2014,6:06 PM,Head on,Property Damage Only,
104073239,Cary,MEDLIN DR,0.028,S,SW MAYNARD DR,CUSCOWILLA DR,5/19/2014,11:55 PM,Parked motor vehicle,Unknown,
104073238,Cary,WEE LOCH DR,0.5,E,FERNGLOEN PL,W CORNWALL RD,5/19/2014,9:43 AM,Parked motor vehicle,Unknown,
104092969,Cary,SR 1300,0,,KILMAYNE DR,SR 1415,5/20/2014,10:13 AM,Head on,B-Injury (Evident),
104073245,Cary,SR 1615,0.003,,CASTALIA DR,SR 1415,5/20/2014,3:52 PM,"Left turn, different roadways",C-Injury (Possible),
104093290,Cary,NC 54,0.09,SE,WOODLAND DR,PORTRAIT DR,5/20/2014,3:40 PM,Ran off road - right,C-Injury (Possible),
104093292,Cary,US 64,0.009,E,GREGSON DR,EDINBURGH SOUTH DR,5/20/2014,5:04 PM,"Rear end, slow or stop",Property Damage Only,
104093308,Cary,MAPLE AVE,0.014,W,DOGWOOD ST,HICKORY ST,5/20/2014,6:10 PM,Ran off road - right,Property Damage Only,
104093291,Cary,HIGH MEADOW DR,0.028,W,BISSET DR,KILDAIRE FARM RD,5/20/2014,3:49 PM,Angle,Property Damage Only,
104093287,Cary,DAVIS DR,0.057,N,CHARLEVILLE CT,MORRISVILLE PKWY,5/20/2014,2:00 PM,"Rear end, slow or stop",Property Damage Only,
104094895,Cary,SR 1315,0.047,NE,SR 1313,NOTTINGHAM DR,5/20/2014,5:00 PM,"Sideswipe, same direction",Property Damage Only,
104093299,Cary,NC 55,0.024,S,SR 1615,PARKSCENE DR,5/20/2014,12:19 PM,Angle,Property Damage Only,
104093293,Cary,ARTHUR PIERCE RD,0,,KILDAIRE FARM RD,STEPHENSON RD,5/20/2014,7:50 AM,"Rear end, slow or stop",Property Damage Only,
104092709,Cary,SW CARY PKWY,0.02,W,LAKE PINE DR,GLENBUCKLEY RD,5/21/2014,8:29 AM,"Rear end, slow or stop",C-Injury (Possible),
104093307,Cary,SR 1625,0.12,N,HORTONS CREEK RD,ROSEPINE DR,5/21/2014,9:45 AM,"Rear end, slow or stop",C-Injury (Possible),
104071025,Cary,US 1,0.1,S,I 40,SR 1313,5/21/2014,11:01 PM,Fixed object,Property Damage Only,
104093315,Cary,WEDONIA DR,0.1,E,STREDAL DR,HORTONS CREEK RD,5/21/2014,11:52 AM,Movable object,Property Damage Only,
104093313,Cary,SR 1300,0.21,W,LOCH HIGHLANDS DR,STEEP BANK DR,5/21/2014,4:46 PM,Ran off road - right,Property Damage Only,
104093311,Cary,AUSTIN AVE,0.004,N,DOWELL RD,,5/21/2014,11:59 AM,Backing up,Property Damage Only,
104092147,Cary,SR 3977,0.002,E,CLANCY CIR,SR 1300,5/22/2014,3:08 PM,Other non-collision,Property Damage Only,
104093327,Cary,US 1,23,SW,I 40,SR 1313,5/22/2014,4:24 PM,"Sideswipe, same direction",Property Damage Only,
104093336,Cary,SR 1009,0,,SR 1300,ADVENT CT,5/22/2014,1:41 PM,"Rear end, turn",Property Damage Only,
104088282,Cary,YATES STORE RD,0,,CARPENTER FIRE,BROOKHILL WAY,5/22/2014,4:33 PM,Angle,Property Damage Only,
104093322,Cary,JENKS CARPENTER RD,0.001,S,HIGH HOUSE RD,DESHIRE MIST LN,5/22/2014,2:37 PM,"Rear end, slow or stop",Property Damage Only,
104093326,Cary,SR 1615,0,,CORNERSTONE DR,TUMBLED WAY,5/22/2014,6:51 PM,"Rear end, slow or stop",Property Damage Only,
104093328,Cary,RENAISSANCE PARK PL,0.019,W,HARRISON AVE,HARRISON OAKS BLVD,5/22/2014,9:10 PM,Backing up,Unknown,
104092678,Cary,US 1,0.1,N,KILDAIRE FARM RD,CARY PKY,5/23/2014,8:48 AM,"Sideswipe, same direction",B-Injury (Evident),
104092103,Cary,DILLARD DR,0.043,W,MEETING ST,PINEY PLAINS,5/23/2014,5:10 PM,"Rear end, slow or stop",C-Injury (Possible),
104094090,Cary,SR 1009,0,,SR 1423,PINK ACRES ST,5/23/2014,6:51 PM,"Sideswipe, same direction",C-Injury (Possible),
104093337,Cary,US 1,0.019,NE,SR 1313,I 40,5/23/2014,9:06 PM,"Sideswipe, same direction",Property Damage Only,
104092105,Cary,SR 1349,0.017,W,MEETING ST,SR 1423,5/23/2014,4:48 PM,"Left turn, same roadway",Property Damage Only,
104092652,Cary,SR 1300,0.004,S,SHANNON OAKS CIR,CARY PKY,5/23/2014,1:17 PM,Backing up,Property Damage Only,
104093338,Cary,OLD APEX RD,0,,SW CARY PKWY,CENTERPOINTE DR,5/23/2014,7:54 PM,"Rear end, turn",Property Damage Only,
104093333,Cary,PARK YORK LN,0,,DOWNING FOREST PL,POPLAR KNOLL CT,5/23/2014,5:06 PM,Head on,Property Damage Only,
104093334,Cary,E LAURENBROOK CT,0.1,S,KIRKFIELD DR,STREET END,5/23/2014,3:43 PM,Parked motor vehicle,Property Damage Only,
104095490,Cary,SR 1615,0,E,CORNERSTONE DR,SR 1613,5/24/2014,7:41 PM,Angle,Property Damage Only,
104095491,Cary,CROSSROADS BLVD,0.028,E,CAITBOO AVE,ROYAL BIRKDALE DR,5/24/2014,3:57 PM,"Left turn, same roadway",Property Damage Only,
104095060,Cary,CARY PKWY,0.028,E,NANTUCKET DR,THORPE DR,5/24/2014,10:20 PM,Fixed object,Property Damage Only,
104095510,Cary,SR 1300,0,,ADVENT CT,SR 1009,5/25/2014,2:02 PM,"Sideswipe, same direction",Property Damage Only,
104095507,Cary,NC 55,0.057,SE,PETTY FARM RD,SR 1633,5/25/2014,9:38 PM,Animal,Property Damage Only,
104095496,Cary,SR 3977,0.019,E,RIDGEVIEW DR,HAMPTON VALLEY RD,5/25/2014,6:12 PM,"Rear end, slow or stop",Property Damage Only,
104095506,Cary,CARY PKWY,0.051,E,HIGH MEADOW DR,KILDAIRE FARM RD,5/25/2014,1:12 PM,Ran off road - right,Property Damage Only,
104095514,Cary,SR 3977,0.032,S,SEABROOK AVE,COORSDALE DR,5/26/2014,1:49 AM,Ran off road - left,C-Injury (Possible),
104095512,Cary,WALDO ROOD BLVD,0,,MACARTHUR DR,TRAILVIEW DR,5/26/2014,2:49 PM,"Left turn, different roadways",C-Injury (Possible),
104095513,Cary,MEETING ST,0,,CAITBOO AVE,SR 1313,5/26/2014,1:56 PM,"Sideswipe, same direction",Property Damage Only,
104095509,Cary,MAYNARD RD,0.004,S,CHATHAM ST,REED ST,5/26/2014,5:00 PM,"Rear end, slow or stop",Property Damage Only,
104095084,Cary,NC 54,0,,SORRELL ST,SR 1650,5/27/2014,2:27 PM,"Left turn, different roadways",C-Injury (Possible),
104095521,Cary,NC 54,0,,SR 1415,SR 1653,5/27/2014,11:06 AM,"Left turn, same roadway",Property Damage Only,
104095518,Cary,US 64,0.011,N,US 1,EDINBURGH SOUTH DR,5/27/2014,4:28 PM,"Right turn, different roadways",Property Damage Only,
104095519,Cary,FINBARR DR,0.002,E,COFFIN BAY CT,HORTON'S CREEK RD,5/27/2014,12:12 PM,Backing up,Property Damage Only,
104095485,Cary,MIDDLE CRK PARK AVE,0,,W LAKE RD,JAMISON WOODS LN,5/27/2014,1:00 PM,"Rear end, slow or stop",Property Damage Only,
104095517,Cary,SR 1615,0.003,NE,LEGAULT DR,LILLY RIDGE RD,5/27/2014,4:27 PM,"Rear end, slow or stop",Property Damage Only,
104066555,Cary,CHAPEL HILL RD,0,,I 40,TRINITY RD,5/27/2014,10:45 AM,Angle,Property Damage Only,
104095484,Cary,CARY PKWY,0.028,E,CARY PKWY,,5/27/2014,10:07 AM,"Left turn, different roadways",Property Damage Only,
104096194,Cary,54 CHAPEL HILL RD,0,,E DURHAM RD,BOWDEN ST,5/28/2014,11:47 AM,Angle,C-Injury (Possible),
104096189,Cary,KILDAIRE FARM RD,0,,TROON VILLAGE,CARY PKWY,5/28/2014,7:42 AM,"Rear end, slow or stop",C-Injury (Possible),
104109426,Cary,SR 1300,0,,MEDCON CT,E CORNWALL RD,5/28/2014,6:00 PM,"Rear end, slow or stop",C-Injury (Possible),
104096190,Cary,NC 55,1,N,SR 3060,SR 3014,5/28/2014,7:05 AM,"Rear end, slow or stop",Property Damage Only,
104096182,Cary,US 1,3,N,US 64,CARY PKWY,5/28/2014,5:43 PM,"Rear end, slow or stop",Property Damage Only,
104096193,Cary,KILDAIRE FARM RD,0,N,LOCHMERE DR,GLEN ECHO DR,5/28/2014,7:46 AM,Angle,Property Damage Only,
104096187,Cary,KILDAIRE FARM RD,0,,CARY PKWY,SHANNON OAKS CIR,5/28/2014,5:07 PM,"Left turn, same roadway",Property Damage Only,
104096181,Cary,WOODWINDS INDUSTRIAL C,0.1,W,SR 3977,DEAD END,5/28/2014,4:27 PM,"Sideswipe, same direction",Unknown,
104096199,Cary,SR 3073,0,,JAMES JACKSON AVE,NC 54,5/29/2014,12:20 PM,"Left turn, same roadway",C-Injury (Possible),
104096192,Cary,SR 1300,0,N,HIGH MEADOW DR,FARMINGTON WOODS DR,5/29/2014,5:48 PM,"Left turn, same roadway",C-Injury (Possible),
104096203,Cary,SR 3124,0,,SR 3122,CARPENTER CRK PL,5/29/2014,8:45 AM,"Left turn, different roadways",Property Damage Only,
104096197,Cary,CHATHAM ST,0,,TRINITY RD,MAYNARD RD,5/29/2014,1:22 PM,"Rear end, slow or stop",Property Damage Only,
104096191,Cary,WALNUT ST,21,N,DILLARD DR,MEETING ST,5/29/2014,6:12 PM,"Sideswipe, same direction",Property Damage Only,
104096177,Cary,US 1,0.085,W,SR 3977,US 64,5/30/2014,5:05 PM,"Rear end, slow or stop",B-Injury (Evident),
104096179,Cary,US 1,0.11,NE,SR 3977,US 1,5/30/2014,5:58 PM,"Rear end, slow or stop",C-Injury (Possible),
104096185,Cary,HIGH MEADOW DR,0.009,NW,SR 3977,HANOVER PL,5/30/2014,4:34 PM,"Rear end, slow or stop",C-Injury (Possible),
104096188,Cary,US 1,1.25,NE,SR 1010,US 64,5/30/2014,4:16 PM,Fixed object,Property Damage Only,
104096202,Cary,US 1,0.085,W,CARY PKWY,US 64,5/30/2014,5:05 PM,"Rear end, slow or stop",Property Damage Only,
104096184,Cary,US 1,0.3,SW,US 64,SR 1010,5/30/2014,3:51 PM,"Rear end, slow or stop",Property Damage Only,
104096204,Cary,US 1,0.006,NE,US 64,SR 1300,5/30/2014,9:01 AM,"Rear end, turn",Property Damage Only,
104096200,Cary,BROWARD LN,0.013,W,SEALINE DR,FLY BRIDGE DR,5/30/2014,9:16 AM,Backing up,Property Damage Only,
104096183,Cary,SR 1628,0,,SR 1625,PARABLE WAY,5/30/2014,4:37 PM,Angle,Property Damage Only,
104096178,Cary,SR 1300,0,,SR 3977,SHANNON OAKS CIR,5/30/2014,9:40 PM,"Sideswipe, same direction",Property Damage Only,
104071280,Cary,US 1,0.006,S,SR 1315,SR 1313,5/31/2014,3:30 PM,Ran off road - straight,C-Injury (Possible),
104111325,Cary,SR 1652,0.095,SW,I 40,HARRISON OAKS BLVD,5/31/2014,10:57 AM,"Rear end, slow or stop",C-Injury (Possible),
104096211,Cary,KILDAIRE FARM RD,0,,SHANNON OAKS CIR,HIGH MEADOW DR,5/31/2014,8:28 AM,"Left turn, same roadway",C-Injury (Possible),
104096216,Cary,NC 54,0,,FAIRBANKS RD,BALAJI PL,5/31/2014,7:48 AM,"Rear end, slow or stop",Property Damage Only,
104096221,Cary,WESTON PKWY,0,,SR 3084,CENTERGREEN WAY,5/31/2014,10:26 AM,Angle,Property Damage Only,
104096223,Cary,US 1,0,,US 64,EDINBURGH DR,5/31/2014,3:14 PM,"Rear end, slow or stop",Property Damage Only,
104095345,Cary,SR 1313,0.25,,US 1,NOTTINGHAM DR,5/31/2014,2:56 PM,"Rear end, slow or stop",Property Damage Only,
104096212,Cary,OLDE WEATHERSTONE WAY,0,,CASTALIA DR,OZONE CT,5/31/2014,7:25 PM,"Left turn, different roadways",Property Damage Only,
104096215,Cary,CHAPEL HILL RD,0,,FAIRBANKS RD,WILSON RD,5/31/2014,11:48 AM,"Left turn, different roadways",Property Damage Only,
104084202,Cary,SR 2977,0.012,,EVANS RD,CARYWOOD DR,6/1/2014,11:45 PM,"Rear end, slow or stop",B-Injury (Evident),
104096233,Cary,US 1,0.012,W,SR 1313,SR 1413,6/1/2014,4:42 PM,"Rear end, slow or stop",C-Injury (Possible),
104084197,Cary,SR 1616,0.047,W,FALCONE PKWY,MURPHY DR,6/1/2014,10:50 PM,Backing up,Property Damage Only,
104111334,Cary,SR 1652,0.005,N,BASS PRO LN,SAS CAMPUS DR,6/1/2014,12:27 PM,"Rear end, slow or stop",Property Damage Only,
104107459,Cary,1805 N HARRISON AVE,0.008,SW,BASS PRO LANE,WESTON PKWY,6/1/2014,4:15 PM,Parked motor vehicle,Property Damage Only,
104084204,Cary,SR 1616,0.076,S,SR 1011,SR 3977,6/2/2014,9:10 PM,Animal,B-Injury (Evident),
104096230,Cary,US 64,0.009,,AUTO PARK BLVD,MACKENAN DR,6/2/2014,8:53 AM,"Rear end, slow or stop",C-Injury (Possible),
104084206,Cary,US 1,0.038,NE,SR 3977,SR 1313,6/2/2014,11:12 PM,Animal,Property Damage Only,
104080584,Cary,SR 1600,0,,SR 1163,SR 1601,6/2/2014,10:50 AM,Angle,Property Damage Only,
104111329,Cary,NW MAYNARD RD,0,N,HIGH HOUSE RD,DOGWOOD FOREST DR,6/2/2014,7:18 PM,"Left turn, same roadway",Property Damage Only,
104110258,Cary,US 64,0,,EDINBURGH DR,GREGSON DR,6/2/2014,2:22 PM,"Rear end, slow or stop",Property Damage Only,
104084223,Cary,SR 1652,0.004,S,KINGSWOOD DR,JOHNSON ST,6/2/2014,1:08 PM,"Sideswipe, same direction",Property Damage Only,
104084200,Cary,PARK YORK LN,0.004,N,ROAD END,LEWLEY DR,6/2/2014,2:20 PM,Backing up,Property Damage Only,
104096231,Cary,KILDAIRE FARM RD,0,,DANCERS POINTE LANE,PENNY RD,6/2/2014,8:29 PM,"Left turn, different roadways",Property Damage Only,
104096226,Cary,US 64,0,,EDINBURGH SOUTH DR,TRYON RD,6/2/2014,4:24 PM,"Rear end, slow or stop",Property Damage Only,
104084201,Cary,MICHIGAN AVE,0.057,E,SUMMERHOUSE RD,I 540,6/2/2014,11:00 AM,Backing up,Unknown,
104110264,Cary,FRYAR CREEK DR,0.001,W,PARK YORK LN,CASTLEBURRY CREEK CT,6/3/2014,8:07 AM,Fixed object,C-Injury (Possible),
104084203,Cary,US 64,0.047,E,EDINBURGH DR,SR 1009,6/3/2014,6:47 PM,"Rear end, slow or stop",Property Damage Only,
104084208,Cary,US 1,0.2,NE,SR 3977,SR 1313,6/3/2014,3:26 PM,Animal,Property Damage Only,
104084225,Cary,US 64,0,,CARY AUTOPARK PL,SR 1521,6/3/2014,5:05 PM,"Rear end, turn",Property Damage Only,
104096228,Cary,GREEN LEVEL CHURCH RD,0,S,CARPENTER FIRE,CARY GLEN BLVD,6/3/2014,6:50 AM,Pedalcyclist,Property Damage Only,
104084205,Cary,US 1,2,N,TRYON RD,CARY PKWY,6/3/2014,7:55 AM,"Rear end, slow or stop",Property Damage Only,
104096232,Cary,WALNUT ST,10,W,CARY TOWNE CENTER,MAYNARD RD,6/3/2014,11:51 AM,"Rear end, slow or stop",Property Damage Only,
104096557,Cary,1151 TRYON VILLAGE DR,0.009,E,TRYON SPRINGS RD,TRYON WOODS DR,6/3/2014,12:13 PM,Backing up,Property Damage Only,
104107468,Cary,STRATHBURG LN,0.038,N,SCOTIA PL,COLINSBURGH CT,6/4/2014,1:15 PM,Parked motor vehicle,C-Injury (Possible),
104096244,Cary,SR 1633,0.2,N,SAUNDERS GROVE LN,NC 55,6/4/2014,3:09 PM,"Sideswipe, opposite direction",Property Damage Only,
104084224,Cary,NC 55,0.45,SE,SR 3127,SR 1624,6/4/2014,4:46 PM,"Right turn, same roadway",Property Damage Only,
104096234,Cary,US 1,0.003,N,US 64,EDINBURGH DR,6/4/2014,12:25 PM,"Rear end, slow or stop",Property Damage Only,
104084221,Cary,WALDO ROOD BLVD,0.004,W,SW CARY PKWY,HADDONFIELD LN,6/4/2014,9:49 AM,"Rear end, slow or stop",Property Damage Only,
104084239,Cary,SR 1300,0.006,N,SR 3977,HIGH MEADOW DR,6/4/2014,12:42 PM,"Rear end, slow or stop",Property Damage Only,
104084231,Cary,KILDAIRE FARM RD,0.047,S,PALACE GREEN,LOCH HIGHLANDS DR,6/4/2014,12:28 PM,"Sideswipe, same direction",Property Damage Only,
104084230,Cary,CARY PRKWY,0.2,E,LOCHSIDE DR,LOCHMERE DR,6/4/2014,1:14 PM,"Rear end, slow or stop",Property Damage Only,
104084226,Cary,CARY PKWY,0.1,S,US 1,TRYON RD,6/4/2014,8:21 AM,"Sideswipe, same direction",Property Damage Only,
104107472,Cary,US 1,6,S,WALNUT ST,CARY PKWY,6/5/2014,5:39 PM,"Rear end, slow or stop",B-Injury (Evident),
104096243,Cary,US 1,0.062,SW,SR 1313,SR 3977,6/5/2014,5:51 PM,"Rear end, slow or stop",Property Damage Only,
104084238,Cary,E CHATHAM ST,0.25,W,REEDY CREEK,E CIRCLE DR,6/5/2014,4:00 AM,Fixed object,Property Damage Only,
104084228,Cary,SR 4067,0.019,E,SR 1009,REGENCY FOREST DR,6/5/2014,7:52 PM,"Rear end, slow or stop",Property Damage Only,
104107471,Cary,US 1,0.5,SW,WALNUT ST,SE CARY PKWY,6/5/2014,5:35 PM,"Rear end, slow or stop",Property Damage Only,
104084234,Cary,BRAELANDS DR,0.006,E,WEPEING BRANCH WAY,WRENHAVEN WAY,6/5/2014,1:37 PM,Backing up,Property Damage Only,
104084236,Cary,REGENCY PKWY,0,,SR 1009,US 1,6/6/2014,7:58 AM,"Sideswipe, same direction",Property Damage Only,
104084246,Cary,US 1,0.28,SW,I 40,SR 1313,6/6/2014,4:17 PM,"Rear end, slow or stop",Property Damage Only,
104084258,Cary,SR 1313,0.049,NW,SR 1423,SR 1315,6/6/2014,4:12 PM,"Sideswipe, same direction",Property Damage Only,
104084257,Cary,SR 3112,0,,CENTER POINT DR,SR 1616,6/6/2014,7:33 PM,"Left turn, same roadway",Property Damage Only,
104085498,Cary,SR 1009,0.025,SW,WELLINGBOROUGH DR,SR 3977,6/6/2014,4:08 PM,"Sideswipe, same direction",Property Damage Only,
104096176,Cary,HIGH HOUSE RD,0,,BRADFORD PLAZA WAY,DAVIS DR,6/6/2014,12:59 PM,"Sideswipe, same direction",Property Damage Only,
104084237,Cary,N HARRISON AVE,0.019,N,CHAPEL HILL RD,GRAY ST,6/6/2014,7:18 AM,"Sideswipe, same direction",Property Damage Only,
104084235,Cary,WALNUT ST,0,,IVY LN,MAYNARD RD,6/6/2014,12:57 PM,"Rear end, slow or stop",Property Damage Only,
104096240,Cary,SR 4067,0.019,NE,SR 1009,REGENCY FOREST DR,6/6/2014,4:25 PM,"Rear end, slow or stop",Property Damage Only,
104084241,Cary,MICHIGAN AVE,1,W,SUMMERHOUSE RD,SUMMERHOUSE RD,6/6/2014,6:57 AM,Backing up,Property Damage Only,
104115303,Cary,SR 2704,0,,SR 1300,FARMINGTON WOODS DR,6/7/2014,2:15 PM,Pedestrian,B-Injury (Evident),
104115300,Cary,TEN TEN RD,0,,DEN HEIDER WAY,GREYHAWK PL,6/7/2014,11:30 AM,"Rear end, slow or stop",C-Injury (Possible),
104076917,Cary,EDINBURGH DR S,0.1,E,GREGSON DR,US 64,6/7/2014,12:42 AM,Fixed object,Property Damage Only,
104115304,Cary,SR 1313,0.004,S,MEETING ST,SR 1315,6/7/2014,2:15 PM,"Rear end, slow or stop",Property Damage Only,
104114160,Cary,WESTON PKWY,0,,N HARRISON AV,SAS CAMPUS DR,6/7/2014,12:10 PM,Angle,Property Damage Only,
104114165,Cary,1624 WALNUT ST,0.028,W,WALNUT ST 1313,END OF ROADWAY,6/7/2014,2:29 PM,Backing up,Unknown,
104114163,Cary,SR 1652,0.003,N,SR 3090,BASS PRO LN,6/8/2014,4:31 AM,Ran off road - right,C-Injury (Possible),
104114166,Cary,TRYON RD,0.002,,KILDAIRE FARM RD,COLONADES WAY,6/8/2014,1:28 PM,"Rear end, slow or stop",C-Injury (Possible),
104114164,Cary,SR 1313,0.061,SE,SR 1315,SR 1423,6/8/2014,3:08 PM,"Rear end, slow or stop",Property Damage Only,
104115316,Cary,CHESWICK PL,2,SW,POND ST,BARGATE DR,6/8/2014,6:02 AM,Parked motor vehicle,Property Damage Only,
104115330,Cary,N HARRISON AV,0.057,S,LIVINGSTONE DR,CARY PKWY,6/8/2014,11:54 PM,Animal,Property Damage Only,
104115305,Cary,SR 1300,0,,TRYON RD,COLONADES WAY,6/8/2014,11:36 PM,"Sideswipe, same direction",Property Damage Only,
104114162,Cary,NC 55,0.03,N,SR 1615,CONNEMARA DR,6/8/2014,11:22 AM,"Rear end, slow or stop",Property Damage Only,
104114168,Cary,WADE GREEN PL,0.038,N,POWERS FERRY RD,HILL RISE PL,6/8/2014,3:36 PM,Backing up,Property Damage Only,
104115331,Cary,SR 1435,0,,MACKENAN DR,LORD DR,6/9/2014,3:42 PM,Angle,C-Injury (Possible),
